timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,hour
2015-01-04 00:00:00,182,3.0,2.0,93.0,6.0,3.0,0.0,1.0,3.0,0
2015-01-04 01:00:00,138,3.0,2.5,93.0,5.0,1.0,0.0,1.0,3.0,1
2015-01-04 02:00:00,134,2.5,2.5,96.5,0.0,1.0,0.0,1.0,3.0,2
2015-01-04 03:00:00,72,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0,3
2015-01-04 04:00:00,47,2.0,0.0,93.0,6.5,1.0,0.0,1.0,3.0,4
2015-01-04 05:00:00,46,2.0,2.0,93.0,4.0,1.0,0.0,1.0,3.0,5
2015-01-04 06:00:00,51,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0,6
2015-01-04 07:00:00,75,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0,7
2015-01-04 08:00:00,131,1.5,-1.0,96.5,8.0,4.0,0.0,1.0,3.0,8
2015-01-04 09:00:00,301,2.0,-0.5,100.0,9.0,3.0,0.0,1.0,3.0,9
2015-01-04 10:00:00,528,3.0,-0.5,93.0,12.0,3.0,0.0,1.0,3.0,10
2015-01-04 11:00:00,727,2.0,-1.5,100.0,12.0,3.0,0.0,1.0,3.0,11
2015-01-04 12:00:00,862,2.0,-1.5,96.5,13.0,4.0,0.0,1.0,3.0,12
2015-01-04 13:00:00,916,3.0,-0.5,87.0,15.0,3.0,0.0,1.0,3.0,13
2015-01-04 14:00:00,1039,2.5,0.0,90.0,8.0,3.0,0.0,1.0,3.0,14
2015-01-04 15:00:00,869,2.0,-1.5,93.0,11.0,3.0,0.0,1.0,3.0,15
2015-01-04 16:00:00,737,3.0,0.0,93.0,12.0,3.0,0.0,1.0,3.0,16
2015-01-04 17:00:00,594,3.0,0.0,93.0,11.0,3.0,0.0,1.0,3.0,17
2015-01-04 18:00:00,522,3.0,1.5,93.0,6.5,3.0,0.0,1.0,3.0,18
2015-01-04 19:00:00,379,3.0,1.0,93.0,7.0,3.0,0.0,1.0,3.0,19
2015-01-04 20:00:00,328,3.0,3.0,93.0,4.0,3.0,0.0,1.0,3.0,20
2015-01-04 21:00:00,221,3.0,2.5,93.0,5.0,4.0,0.0,1.0,3.0,21
2015-01-04 22:00:00,178,3.0,2.0,93.0,6.0,4.0,0.0,1.0,3.0,22
2015-01-04 23:00:00,157,4.0,3.5,87.0,5.0,4.0,0.0,1.0,3.0,23
2015-01-10 00:00:00,392,14.0,14.0,77.0,39.0,4.0,0.0,1.0,3.0,0
2015-01-10 01:00:00,277,14.0,14.0,77.0,40.0,4.0,0.0,1.0,3.0,1
2015-01-10 02:00:00,189,14.0,14.0,72.0,40.5,3.0,0.0,1.0,3.0,2
2015-01-10 03:00:00,153,13.0,13.0,77.0,41.0,3.0,0.0,1.0,3.0,3
2015-01-10 04:00:00,90,13.0,13.0,77.0,36.0,3.0,0.0,1.0,3.0,4
2015-01-10 05:00:00,52,13.0,13.0,77.0,35.0,3.0,0.0,1.0,3.0,5
2015-01-10 06:00:00,69,13.0,13.0,82.0,35.0,7.0,0.0,1.0,3.0,6
2015-01-10 07:00:00,143,13.0,13.0,79.5,35.0,3.0,0.0,1.0,3.0,7
2015-01-10 08:00:00,321,14.0,14.0,74.5,40.0,3.0,0.0,1.0,3.0,8
